5: inc a.*
6: dec c.*
\d: jnz c -2.*

{a=12, b=0, c=0, d=0}
1: cpy a d    {a=12, b=0, c=0, d=12}
2: cpy a c    {a=12, b=0, c=12, d=12}
3: dec c      {a=12, b=0, c=11, d=12}
4: mul c d    {a=132, b=0, c=11, d=12}
5: cpy a d    {a=132, b=0, c=11, d=132}
6: dec c      {a=132, b=0, c=10, d=132}
3: jnz c -3   {a=132, b=0, c=10, d=132}
4: mul c d    {a=1320, b=0, c=10, d=132}
5: cpy a d    {a=1320, b=0, c=10, d=1320}
6: dec c      {a=1320, b=0, c=9, d=1320}
3: jnz c -3   {a=1320, b=0, c=9, d=1320}
4: mul c d    {a=11880, b=0, c=9, d=1320}
5: cpy a d    {a=11880, b=0, c=9, d=11880}
6: dec c      {a=11880, b=0, c=8, d=11880}
3: jnz c -3   {a=11880, b=0, c=8, d=11880}
4: mul c d    {a=95040, b=0, c=8, d=11880}
5: cpy a d    {a=95040, b=0, c=8, d=95040}
6: dec c      {a=95040, b=0, c=7, d=95040}
3: jnz c -3   {a=95040, b=0, c=7, d=95040}
4: mul c d    {a=665280, b=0, c=7, d=95040}
5: cpy a d    {a=665280, b=0, c=7, d=665280}
6: dec c      {a=665280, b=0, c=6, d=665280}
3: jnz c -3   {a=665280, b=0, c=6, d=665280}
4: mul c d    {a=3991680, b=0, c=6, d=665280}
5: cpy a d    {a=3991680, b=0, c=6, d=3991680}
6: dec c      {a=3991680, b=0, c=5, d=3991680}
3: jnz c -3   {a=3991680, b=0, c=5, d=3991680}
4: mul c d    {a=19958400, b=0, c=5, d=3991680}
5: cpy a d    {a=19958400, b=0, c=5, d=19958400}
6: dec c      {a=19958400, b=0, c=4, d=19958400}
3: jnz c -3   {a=19958400, b=0, c=4, d=19958400}
4: mul c d    {a=79833600, b=0, c=4, d=19958400}
5: cpy a d    {a=79833600, b=0, c=4, d=79833600}
6: dec c      {a=79833600, b=0, c=3, d=79833600}
3: jnz c -3   {a=79833600, b=0, c=3, d=79833600}
4: mul c d    {a=239500800, b=0, c=3, d=79833600}
5: cpy a d    {a=239500800, b=0, c=3, d=239500800}
6: dec c      {a=239500800, b=0, c=2, d=239500800}
3: jnz c -3   {a=239500800, b=0, c=2, d=239500800}
4: mul c d    {a=479001600, b=0, c=2, d=239500800}
5: cpy a d    {a=479001600, b=0, c=2, d=479001600}
6: dec c      {a=479001600, b=0, c=1, d=479001600}
3: jnz c -3   {a=479001600, b=0, c=1, d=479001600}
4: mul c d    {a=479001600, b=0, c=1, d=479001600}
5: cpy a d    {a=479001600, b=0, c=1, d=479001600}
6: dec c      {a=479001600, b=0, c=0, d=479001600}
7: jnz c -3   {a=479001600, b=0, c=0, d=479001600}
8: cpy 73 c   {a=479001600, b=0, c=73, d=479001600}
9: cpy 80 d   {a=479001600, b=0, c=73, d=80}
10: inc a      {a=479001601, b=0, c=73, d=80}
11: dec d      {a=479001601, b=0, c=73, d=79}
9: jnz d -2   {a=479001601, b=0, c=73, d=79}
10: inc a      {a=479001602, b=0, c=73, d=79}
11: dec d      {a=479001602, b=0, c=73, d=78}
9: jnz d -2   {a=479001602, b=0, c=73, d=78}
10: inc a      {a=479001603, b=0, c=73, d=78}
11: dec d      {a=479001603, b=0, c=73, d=77}
9: jnz d -2   {a=479001603, b=0, c=73, d=77}
10: inc a      {a=479001604, b=0, c=73, d=77}
11: dec d      {a=479001604, b=0, c=73, d=76}
9: jnz d -2   {a=479001604, b=0, c=73, d=76}
10: inc a      {a=479001605, b=0, c=73, d=76}
11: dec d      {a=479001605, b=0, c=73, d=75}
9: jnz d -2   {a=479001605, b=0, c=73, d=75}
10: inc a      {a=479001606, b=0, c=73, d=75}
11: dec d      {a=479001606, b=0, c=73, d=74}
9: jnz d -2   {a=479001606, b=0, c=73, d=74}
10: inc a      {a=479001607, b=0, c=73, d=74}
11: dec d      {a=479001607, b=0, c=73, d=73}
9: jnz d -2   {a=479001607, b=0, c=73, d=73}
10: inc a      {a=479001608, b=0, c=73, d=73}
11: dec d      {a=479001608, b=0, c=73, d=72}
